Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1319,,,,-0.037109375,-0.21875,-0.716796875,0.025314359495434036,1.5634914490439566,15.413714408874512,1.1650903197051958,0,4136,17.958369448480187,0,0,0,0,0.791015625,,
0,1319,,,,0.0625,0.091796875,-1.037109375,0.025432685996512574,1.5541310072667645,15.413200378417969,1.1585334511520342,0,4136,17.85670822770641,0,0,0,0,0.798828125,,
0.03779999999981373,1319,,,,0,-0.421875,-1.146484375,0.02558018630939568,1.5595734164581732,15.412002563476562,1.2056254120590166,0,4136,18.58110194124605,0,0,0,0,0.796875,,
0.06669499999983236,1319,,,,-0.078125,0.263671875,-0.9765625,0.025531974566628098,1.5656122615292838,15.412334442138672,1.1432340117217974,0,4136,17.619904934284225,0,0,0,0,0.796875,,
0.09453499999968334,1319,,,,0.0234375,0.03125,-1.17578125,0.025422727573069508,1.5694285234914953,15.41200065612793,1.1682990761520342,0,4136,18.005826128208806,0,0,0,0,0.796875,,
0.12048999999975786,1319,,,,-0.03125,-0.291015625,-0.904296875,0.025390392664132292,1.5682607533336153,15.415000915527344,1.1973518105270342,0,4136,18.457179255482554,0,0,0,0,0.80859375,,
0.14780500000016764,1319,,,,-0.162109375,0.388671875,-0.974609375,0.02550099861326478,1.5659142992780626,15.41422176361084,1.1703606816055254,0,4136,18.040199089678307,0,0,0,0,0.810546875,,
0.17466500000003726,1319,,,,0.09375,-0.15234375,-1.076171875,0.02565242942334777,1.55896224702975,15.412445068359375,1.1312981816055254,0,4137,17.43607107993001,0,0,0,0,0.810546875,,
0.19765999999968334,1319,,,,-0.1484375,-0.2578125,-0.89453125,0.025595707262726215,1.5639934810744471,15.413779258728027,1.1551697226287798,0,4136,17.805531110966093,0,0,0,0,0.8046875,,
0.22362999999988825,1319,,,,-0.03125,0.337890625,-1.271484375,0.025483371422724617,1.5646919604212162,15.4131441116333,1.1678805323364214,0,4136,18.00071095007228,0,0,0,0,0.806640625,,
0.2482050000000745,1319,,,,-0.01953125,-0.052734375,-0.966796875,0.02540456639241278,1.5603264645039088,15.412500381469727,1.1778205605270342,0,4136,18.1531598384258,0,0,0,0,0.810546875,,
0.29458999999985097,1319,,,,-0.0234375,-0.15234375,-0.78515625,0.02530564486653532,1.5539091855054663,15.412500381469727,1.1936897011520342,0,4136,18.39774297436221,0,0,0,0,0.81640625,,
0.325875,1319,,,,-0.01953125,0.1015625,-1.052734375,0.02517797781832485,1.566129027108495,15.411202430725098,1.141606328082271,0,4136,17.593526218272647,0,0,0,0,0.818359375,,
