0	4.4906e-07
56.827	3.7497e-07
113.65	2.5155e-07
170.48	3.6636e-07
227.31	3.7057e-07
284.13	3.6128e-07
340.96	2.7423e-07
397.79	3.0444e-07
454.61	3.2885e-07
511.44	2.4959e-07
568.27	4.0553e-07
625.09	3.6291e-07
681.92	3.4269e-07
738.75	3.4046e-07
795.57	4.0257e-07
852.4	3.7123e-07
909.23	3.5216e-07
966.05	3.5352e-07
1022.9	4.1832e-07
1079.7	3.7197e-07
1136.5	3.795e-07
1193.4	4.1044e-07
1250.2	2.8974e-07
1307	3.3266e-07
1363.8	2.9133e-07
1420.7	3.8294e-07
1477.5	3.8822e-07
1534.3	3.6078e-07
1591.1	2.7778e-07
1648	3.4054e-07
1704.8	3.3024e-07
1761.6	3.5817e-07
1818.5	3.3974e-07
1875.3	2.8522e-07
1932.1	2.824e-07
1988.9	2.0648e-07
2045.8	2.7703e-07
2102.6	1.433e-07
2159.4	3.2292e-07
2216.2	2.9124e-07
2273.1	3.9454e-07
2329.9	3.2184e-07
2386.7	2.8959e-07
2443.5	2.5823e-07
2500.4	1.8191e-07
2557.2	3.3615e-07
2614	2.6415e-07
2670.9	2.7924e-07
2727.7	1.8683e-07
2784.5	2.2908e-07
2841.3	3.472e-07
2898.2	3.2538e-07
2955	2.5599e-07
3011.8	2.5541e-07
3068.6	2.3385e-07
3125.5	2.1501e-07
3182.3	3.4005e-07
3239.1	3.0759e-07
3295.9	2.0076e-07
3352.8	3.5697e-07
3409.6	3.1209e-07
3466.4	2.0302e-07
3523.3	3.1428e-07
3580.1	1.4699e-07
3636.9	2.3899e-07
3693.7	2.0718e-07
3750.6	1.3728e-07
3807.4	1.5518e-07
3864.2	2.3261e-07
3921	2.6445e-07
3977.9	2.2652e-07
4034.7	1.6939e-07
4091.5	2.9718e-07
4148.3	2.494e-07
4205.2	2.246e-07
4262	3.5523e-07
4318.8	3.0493e-07
4375.6	2.513e-07
4432.5	2.9743e-07
4489.3	3.276e-07
4546.1	3.0187e-07
4603	1.8291e-07
4659.8	2.9028e-07
4716.6	3.2285e-07
4773.4	2.2126e-07
4830.3	2.49e-07
4887.1	2.3188e-07
4943.9	2.8841e-07
5000.7	9.5787e-08
5057.6	3.4897e-07
5114.4	2.7687e-07
5171.2	3.8463e-07
5228	2.3621e-07
5284.9	2.5895e-07
5341.7	2.8589e-07
5398.5	3.0555e-07
5455.4	1.6868e-07
5512.2	2.9221e-07
5569	2.7181e-07
5625.8	3.3561e-07
5682.7	4.5381e-07
5739.5	4.0698e-07
5796.3	3.9098e-07
