0.000000	14.125457	123.683306	51.179863
0.100000	20.178350	106.818833	27.031182
0.200000	35.815853	106.183324	24.917374
0.300000	36.558320	106.006295	23.735774
0.400000	55.430752	105.872312	22.700229
0.500000	69.494908	105.757291	21.848873
0.600000	78.683267	105.589054	21.109311
0.700000	86.795978	105.413781	20.455663
0.800000	110.817851	105.521228	19.727620
0.900000	118.478090	105.621496	19.036268
1.000000	128.360378	105.522886	18.140212
1.100000	141.985109	105.470448	17.667988
1.200000	161.668483	105.495271	16.630413
1.300000	170.922509	105.650842	15.956291
1.400000	179.182900	105.383337	15.526810
1.500000	198.866026	105.551878	14.603626
1.600000	208.728978	105.336182	13.994624
1.700000	218.551171	105.334690	13.167892
1.800000	228.121471	105.290141	12.497051
1.900000	244.537056	105.479550	11.481731
2.000000	249.271123	105.427268	11.044783
2.100000	257.825895	105.431248	10.366599
2.200000	286.488669	105.382084	9.394291
2.300000	292.604141	105.369309	8.951574
2.400000	304.782604	105.477859	8.023796
2.500000	320.940050	105.485217	7.327452
2.600000	323.858832	105.135332	6.647013
2.700000	332.285465	105.523292	5.916708
2.800000	353.488152	105.414956	5.096836
2.900000	356.590228	105.469626	4.376134
3.000000	380.943197	105.342084	3.616663
3.100000	373.103566	105.218631	2.864148
3.200000	390.395953	105.188142	2.326429
3.300000	408.085725	105.427158	1.533189
3.400000	426.098975	105.262059	0.479168
3.500000	432.068862	105.450476	0.072811
